product_id,name,brand,price_vnd,old_price_vnd,discount_percent,rating,review_count,screen_size_inch,cpu,gpu,ram_gb,storage_gb,weight_kg,url,source,crawl_date
362026,"Laptop Dell 15 DC15250 - DC5I7952W1 (i7 1355U, 16GB, 512GB, Full HD+ 120Hz, OfficeH24+365, Win11)",Dell,25890000,26990000,-4,5.0,598,15.6,Intel Core i7 Raptor Lake - 1355U,Card tích hợp - Intel UHD Graphics,16.0,512,1.65,https://www.thegioididong.com/laptop/dell-15-dc15250-i7-1355u-dc5i7952w1,thegioididong,2026-09-21
367684,"Laptop Lenovo IdeaPad Slim 3 14IPH11 - 83UQ003NVN (Ultra 5 322, 16GB, 512GB, WUXGA, Win11)",Lenovo,25090000,31990000,-21,5.0,38,14.0,Intel Core Ultra 5 Panther Lake - 322,Card tích hợp - Intel Graphics,16.0,512,1.43,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-14iph11-ultra-5-322-83uq003nvn,thegioididong,2026-09-21
369911,"Laptop Dell 15 DC15255 - X9YM42 (R7 7730U, 16GB, 1TB, Full HD 120Hz, OfficeH24+36, Win11)",Dell,30590000,,,,,15.6,AMD Ryzen 7 - 7730U,Card tích hợp - AMD Radeon Graphics,16.0,1024,1.635,https://www.thegioididong.com/laptop/dell-15-dc15255-r7-7730u-x9ym42,thegioididong,2026-09-21
363257,"Laptop Asus VivoBook 16 X1607CA - MB980W (Ultra 5 225H, 16GB, 512GB, WUXGA, Win11)",Asus,23390000,,,5.0,417,16.0,Intel Core Ultra 5 Arrow Lake - 225H,Card tích hợp - Intel Graphics,16.0,512,1.88,https://www.thegioididong.com/laptop/asus-x1607ca-ultra-5-225h-mb980w,thegioididong,2026-09-21
327707,"Laptop MSI Gaming Cyborg 15 A13VEK - 1423VN (i7 13620H, 16GB, 512GB, RTX 4050 6GB, Full HD 144Hz, Win11)",MSI,31390000,33990000,-7,5.0,836,15.6,Intel Core i7 Raptor Lake - 13620H,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16.0,512,1.98,https://www.thegioididong.com/laptop/msi-cyborg-15-a13vek-i7-1423vn,thegioididong,2026-09-21
339954,"Laptop MSI Modern 14 F1MG - 432VN (Core 5 120U, 16GB, 512GB, Full HD, Win11)",MSI,20090000,21990000,-8,5.0,108,14.0,Intel Core 5 Raptor Lake - 120U,Card tích hợp - Intel Graphics,16.0,512,1.5,https://www.thegioididong.com/laptop/msi-modern-14-f1mg-core-5-432vn,thegioididong,2026-09-21
341601,"Laptop Acer Gaming Nitro V 15 ProPanel ANV15 41 R0FE - NH.QPFSV.005 (R7 7735HS, 16GB, 512GB, RTX 3050 6GB, Full HD 180Hz, Win11)",Acer,31390000,32990000,-5,5.0,59,15.6,AMD Ryzen 7 - 7735HS,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",16.0,512,2.1,https://www.thegioididong.com/laptop/acer-nitro-v-15-propanel-anv15-41-r0fe-r7-7735hs-nh-qpfsv-005,thegioididong,2026-09-21
333421,"Laptop Acer Aspire Lite 16 G2 AL16 52P 76DU - NX.J2SSV.005 (i7 1355U, 16GB, 512GB, Full HD+, Win11)",Acer,21090000,21990000,-4,4.9,1058,16.0,Intel Core i7 Raptor Lake - 1355U,Card tích hợp - Intel Iris Xe Graphics eligible,16.0,512,1.7,https://www.thegioididong.com/laptop/acer-aspire-lite-16-g2-al16-52p-76du-i7-nxj2ssv005,thegioididong,2026-09-21
334446,"Laptop Lenovo IdeaPad Slim 3 15IRH10 - 83K1000FVN (i7 13620H, 24GB, 512GB, WUXGA, Win11)",Lenovo,24490000,24990000,-2,4.9,3264,15.3,Intel Core i7 Raptor Lake - 13620H,Card tích hợp - Intel UHD Graphics,24.0,512,1.63,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15irh10-i7-83k1000fvn,thegioididong,2026-09-21
366992,"Laptop Acer Aspire Lite 15 AL15-48P-R86Q - NX.DS1SV.002 (R7 5825U, 8GB, 512GB, Full HD, Win11)",Acer,20090000,21990000,-8,5.0,43,15.6,AMD Ryzen 7 - 5825U,Card tích hợp - AMD Radeon Graphics,8.0,512,1.45,https://www.thegioididong.com/laptop/acer-aspire-lite-15-al15-48p-r86q-r7-5825u-nx-ds1sv-002,thegioididong,2026-09-21
360692,"Laptop Dell 15 DC15250 - 71084747 (i7 1355U, 16GB, 512GB, Full HD 120 Hz, OfficeHS24+365, Win11)",Dell,25890000,26990000,-4,5.0,700,15.6,Intel Core i7 Raptor Lake - 1355U,Card tích hợp - Intel UHD Graphics,16.0,512,1.65,https://www.thegioididong.com/laptop/dell-15-dc15250-i7-1355u-71084747,thegioididong,2026-09-21
367346,"Laptop Dell 14 DC14250 - DC14250-C3U085W11SLU-27 (Core 3 100U, 8GB, 512GB, Full HD+, OfficeH24+365, Win11)",Dell,19190000,19390000,-1,5.0,248,14.0,Intel Core 3 Raptor Lake - 100U,Card tích hợp - Intel Graphics,8.0,512,1.69,https://www.thegioididong.com/laptop/dell-14-dc14250-core-3-100u-dc14250-c3u085w11slu-27,thegioididong,2026-09-21
363260,"Laptop Acer Nitro ProPanel ANV15-41-R0Y4 - NH.QPESV.004 (R7 7735HS, 16GB, 512GB, RTX 4050 6GB, Full HD 180Hz, Win11)",Acer,32390000,33990000,-5,5.0,68,15.6,AMD Ryzen 7 - 7735HS,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16.0,512,2.1,https://www.thegioididong.com/laptop/acer-nitro-v-15-propanel-anv15-41-r0y4-r7-7735hs-nh-qpesv-004,thegioididong,2026-09-21
