product_id,sku,screen_size_inch,resolution,refresh_rate_hz,panel_type,response_time_ms
517895,230604092,21.45,Full HD,75.0,VA,4.0
519626,230701231,32.0,Full HD,240.0,VA,1.0
521849,230703324,55.0,,,VA,8.0
523426,230800427,23.8,Full HD,180.0,IPS,1.0
523429,230800430,21.45,Full HD,75.0,VA,5.0
525681,230803165,23.8,Full HD,270.0,IPS,1.0
525861,230803481,27.0,Full HD,100.0,IPS,1.0
527505,230901010,23.8,,,,
528504,230903174,24.5,Full HD,380.0,IPS,1.0
528601,230903274,27.0,Full HD,100.0,IPS,1.0
529324,230904148,18.5,,60.0,TN,5.0
531056,231002099,21.5,Full HD,100.0,IPS,1.0
531058,231002101,27.0,Full HD,180.0,IPS,1.0
531074,231002117,27.0,,60.0,IPS,5.0
532945,231004174,24.5,Full HD,100.0,IPS,1.0
532946,231004175,24.5,Full HD,280.0,IPS,1.0
532947,231004176,24.5,Full HD,240.0,IPS,1.0
532948,231004177,28.0,,144.0,IPS,1.0
532949,231004178,31.5,2K,170.0,VA,1.0
532951,231004180,49.0,,144.0,VA,4.0
644072,231100708,24.0,Full HD,100.0,IPS,4.0
535426,231102959,23.8,Full HD,100.0,IPS,1.0
537380,231200931,23.8,Full HD,100.0,IPS,1.0
538414,231202224,23.8,Full HD,75.0,IPS,5.0
539248,231203207,23.8,Full HD,100.0,IPS,1.0
539249,231203208,27.0,Full HD,100.0,IPS,1.0
539819,231204286,32.0,,144.0,IPS,1.0
541490,240100228,24.5,Full HD,180.0,IPS,1.0
541492,240100230,27.0,2K,180.0,IPS,1.0
541493,240100231,23.8,Full HD,75.0,VA,4.0
542336,240101307,24.0,Full HD,75.0,VA,4.0
543512,240103018,24.1,Full HD,540.0,TN,0.2
543642,240103543,23.8,Full HD,120.0,IPS,5.0
544867,240201117,26.5,2K,240.0,OLED,0.03
545358,240300020,27.0,2K,120.0,IPS,5.0
545633,240300398,27.0,Full HD,100.0,IPS,6.0
545635,240300400,27.0,Full HD,100.0,IPS,1.0
546114,240300981,24.0,1920x1080,75.0,IPS,5.0
547971,240302587,23.8,Full HD,120.0,IPS,5.0
547972,240302588,21.5,Full HD,100.0,IPS,1.0
549010,240400757,23.8,Full HD,100.0,IPS,1.0
549011,240400758,27.0,Full HD,100.0,IPS,1.0
551974,240403812,27.0,2K,180.0,IPS,1.0
551975,240403813,23.8,Full HD,100.0,IPS,1.0
554186,240502387,27.0,Full HD,100.0,IPS,4.0
554188,240502389,27.0,2K,180.0,IPS,0.5
554189,240502390,27.0,2K,180.0,IPS,0.5
554190,240502391,24.5,Full HD,390.0,IPS,0.5
554192,240502393,27.0,,60.0,IPS,5.0
554194,240502395,34.0,,100.0,VA,5.0
554195,240502396,27.0,2K,165.0,VA,1.0
554197,240502398,49.0,QHD,240.0,OLED,0.03
554198,240502399,57.0,UHD,240.0,VA,1.0
556702,240504657,34.0,,180.0,VA,1.0
557172,240504988,27.0,2K,100.0,IPS,1.0
557173,240504989,24.0,Full HD,100.0,IPS,1.0
560801,240602155,23.8,Full HD,100.0,IPS,5.0
561060,240602418,27.0,2K,75.0,IPS,4.0
561105,240602460,27.0,,60.0,IPS,4.0
561106,240602461,27.0,2K,100.0,IPS,1.0
561859,240603305,27.0,,60.0,IPS,4.0
562750,240700514,27.0,,160.0,IPS,1.0
565119,240702971,38.0,QHD,144.0,Nano IPS,1.0
568721,240706620,27.0,Full HD,100.0,IPS,1.0
569241,240800749,24.0,Full HD,180.0,VA,5.0
569239,240800750,23.8,Full HD,100.0,IPS,1.0
569240,240800751,23.8,Full HD,100.0,IPS,5.0
569245,240800752,26.0,Full HD,75.0,IPS,5.0
569243,240800755,34.0,,100.0,VA,5.0
569248,240800758,27.0,Full HD,100.0,IPS,5.0
569250,240800759,25.0,Full HD,60.0,IPS,5.0
569446,240800923,27.0,2K,100.0,IPS,1.0
569816,240802260,27.0,2K,240.0,IPS,1.0
570274,240802757,25.0,Full HD,120.0,IPS,1.0
570815,240803396,49.0,QHD,144.0,OLED,0.03
